IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.3.184,4,4,0.00,119.64,0.00,N/A
8.35.211.9,4,4,0.00,119.66,0.00,N/A
172.64.41.82,4,4,0.00,119.73,0.00,N/A
8.39.125.137,4,4,0.00,119.80,0.00,N/A
8.39.125.151,4,4,0.00,119.83,0.00,N/A
172.64.34.152,4,4,0.00,119.88,0.00,N/A
172.64.153.177,4,4,0.00,119.89,0.00,N/A
172.64.38.122,4,4,0.00,120.36,0.00,N/A
162.159.48.246,4,4,0.00,120.41,0.00,N/A
162.159.43.252,4,4,0.00,120.52,0.00,N/A
162.159.58.111,4,4,0.00,121.42,0.00,N/A
162.159.60.117,4,4,0.00,121.51,0.00,N/A
172.64.158.183,4,4,0.00,121.73,0.00,N/A
172.64.34.105,4,4,0.00,121.81,0.00,N/A
162.159.34.225,4,4,0.00,121.85,0.00,N/A
104.18.40.242,4,4,0.00,121.97,0.00,N/A
162.159.62.104,4,4,0.00,122.10,0.00,N/A
172.64.34.111,4,4,0.00,122.18,0.00,N/A
172.64.158.211,4,4,0.00,122.21,0.00,N/A
8.35.211.254,4,4,0.00,122.29,0.00,N/A
172.64.41.5,4,4,0.00,122.52,0.00,N/A
172.64.38.25,4,4,0.00,122.60,0.00,N/A
108.162.192.160,4,4,0.00,122.64,0.00,N/A
108.162.193.97,4,4,0.00,122.75,0.00,N/A
172.64.145.53,4,4,0.00,122.88,0.00,N/A
172.64.41.135,4,4,0.00,123.05,0.00,N/A
108.162.192.97,4,4,0.00,123.58,0.00,N/A
108.162.193.136,4,4,0.00,123.65,0.00,N/A
162.159.49.98,4,4,0.00,123.83,0.00,N/A
8.35.211.124,4,4,0.00,123.91,0.00,N/A
8.35.211.91,4,4,0.00,124.31,0.00,N/A
104.18.38.75,4,4,0.00,124.47,0.00,N/A
162.159.58.135,4,4,0.00,124.57,0.00,N/A
172.64.153.84,4,4,0.00,124.58,0.00,N/A
172.64.147.55,4,4,0.00,124.67,0.00,N/A
162.159.3.82,4,4,0.00,124.78,0.00,N/A
162.159.36.158,4,4,0.00,124.80,0.00,N/A
172.64.145.244,4,4,0.00,124.87,0.00,N/A
162.159.17.169,4,4,0.00,124.89,0.00,N/A
162.159.62.7,4,4,0.00,125.15,0.00,N/A
172.64.158.138,4,4,0.00,125.26,0.00,N/A
8.39.125.161,4,4,0.00,125.37,0.00,N/A
104.18.38.98,4,4,0.00,125.46,0.00,N/A
172.64.158.21,4,4,0.00,125.59,0.00,N/A
162.159.5.243,4,4,0.00,125.61,0.00,N/A
162.159.36.162,4,4,0.00,125.86,0.00,N/A
162.159.62.149,4,4,0.00,125.93,0.00,N/A
162.159.60.111,4,4,0.00,126.00,0.00,N/A
172.64.42.68,4,4,0.00,126.06,0.00,N/A
172.64.42.59,4,4,0.00,126.06,0.00,N/A
108.162.192.241,4,4,0.00,126.07,0.00,N/A
162.159.46.107,4,4,0.00,126.24,0.00,N/A
8.35.211.132,4,4,0.00,126.27,0.00,N/A
104.18.38.45,4,4,0.00,126.66,0.00,N/A
162.159.46.127,4,4,0.00,126.72,0.00,N/A
162.159.43.51,4,4,0.00,127.22,0.00,N/A
162.159.43.37,4,4,0.00,127.27,0.00,N/A
162.159.58.178,4,4,0.00,127.88,0.00,N/A
162.159.48.54,4,4,0.00,127.88,0.00,N/A
162.159.3.247,4,4,0.00,128.24,0.00,N/A
172.64.41.20,4,4,0.00,128.26,0.00,N/A
162.159.62.148,4,4,0.00,128.38,0.00,N/A
162.159.61.254,4,4,0.00,128.57,0.00,N/A
8.35.211.90,4,4,0.00,128.58,0.00,N/A
172.64.145.88,4,4,0.00,128.66,0.00,N/A
104.18.38.78,4,4,0.00,128.68,0.00,N/A
172.64.148.160,4,4,0.00,129.21,0.00,N/A
162.159.43.82,4,4,0.00,129.33,0.00,N/A
108.162.193.246,4,4,0.00,129.44,0.00,N/A
104.18.38.72,4,4,0.00,129.70,0.00,N/A
172.64.145.40,4,4,0.00,129.71,0.00,N/A
162.159.49.228,4,4,0.00,130.00,0.00,N/A
172.64.34.87,4,4,0.00,130.19,0.00,N/A
172.64.38.95,4,4,0.00,130.38,0.00,N/A
162.159.61.140,4,4,0.00,131.14,0.00,N/A
172.64.153.166,4,4,0.00,131.14,0.00,N/A
162.159.58.71,4,4,0.00,131.35,0.00,N/A
172.64.34.17,4,4,0.00,131.40,0.00,N/A
162.159.62.196,4,4,0.00,131.43,0.00,N/A
162.159.58.219,4,4,0.00,131.51,0.00,N/A
162.159.34.69,4,4,0.00,131.55,0.00,N/A
162.159.62.118,4,4,0.00,132.09,0.00,N/A
8.35.211.23,4,4,0.00,132.15,0.00,N/A
162.159.48.251,4,4,0.00,132.18,0.00,N/A
104.18.38.138,4,4,0.00,132.20,0.00,N/A
108.162.192.81,4,4,0.00,132.37,0.00,N/A
162.159.58.34,4,4,0.00,132.64,0.00,N/A
172.64.153.130,4,4,0.00,132.73,0.00,N/A
8.35.211.237,4,4,0.00,133.03,0.00,N/A
162.159.46.26,4,4,0.00,133.42,0.00,N/A
172.64.42.26,4,4,0.00,133.50,0.00,N/A
172.64.158.249,4,4,0.00,133.94,0.00,N/A
162.159.36.52,4,4,0.00,133.96,0.00,N/A
172.64.153.229,4,4,0.00,134.10,0.00,N/A
162.159.43.234,4,4,0.00,134.23,0.00,N/A
162.159.49.207,4,4,0.00,134.23,0.00,N/A
104.18.32.250,4,4,0.00,134.42,0.00,N/A
162.159.46.78,4,4,0.00,134.66,0.00,N/A
172.64.145.248,4,4,0.00,134.79,0.00,N/A
172.64.42.161,4,4,0.00,134.81,0.00,N/A
162.159.46.70,4,4,0.00,134.89,0.00,N/A
162.159.36.91,4,4,0.00,134.90,0.00,N/A
162.159.60.86,4,4,0.00,134.94,0.00,N/A
172.64.228.182,4,4,0.00,134.98,0.00,N/A
162.159.57.70,4,4,0.00,135.11,0.00,N/A
162.159.60.202,4,4,0.00,135.17,0.00,N/A
162.159.48.112,4,4,0.00,135.29,0.00,N/A
162.159.5.122,4,4,0.00,135.31,0.00,N/A
172.64.144.52,4,4,0.00,135.47,0.00,N/A
172.64.42.221,4,4,0.00,135.49,0.00,N/A
108.162.192.13,4,4,0.00,135.69,0.00,N/A
172.64.145.14,4,4,0.00,135.72,0.00,N/A
8.35.211.102,4,4,0.00,135.87,0.00,N/A
172.64.38.83,4,4,0.00,136.17,0.00,N/A
162.159.26.107,4,4,0.00,136.25,0.00,N/A
104.18.38.21,4,4,0.00,136.50,0.00,N/A
172.64.158.52,4,4,0.00,136.54,0.00,N/A
172.64.34.101,4,4,0.00,136.64,0.00,N/A
172.64.41.173,4,4,0.00,136.68,0.00,N/A
162.159.58.155,4,4,0.00,136.88,0.00,N/A
162.159.34.99,4,4,0.00,136.89,0.00,N/A
162.159.5.8,4,4,0.00,137.09,0.00,N/A
162.159.36.126,4,4,0.00,137.23,0.00,N/A
162.159.16.50,4,4,0.00,137.28,0.00,N/A
108.162.194.13,4,4,0.00,137.35,0.00,N/A
8.39.125.34,4,4,0.00,137.37,0.00,N/A
162.159.62.152,4,4,0.00,137.43,0.00,N/A
172.64.42.87,4,4,0.00,137.61,0.00,N/A
172.64.145.115,4,4,0.00,137.70,0.00,N/A
162.159.5.63,4,4,0.00,137.77,0.00,N/A
172.64.153.121,4,4,0.00,137.79,0.00,N/A
104.18.40.73,4,4,0.00,137.87,0.00,N/A
162.159.48.88,4,4,0.00,137.88,0.00,N/A
162.159.48.117,4,4,0.00,137.89,0.00,N/A
162.159.49.159,4,4,0.00,137.97,0.00,N/A
162.159.60.255,4,4,0.00,138.26,0.00,N/A
104.18.47.11,4,4,0.00,138.31,0.00,N/A
8.39.125.24,4,4,0.00,138.38,0.00,N/A
162.159.3.173,4,4,0.00,138.46,0.00,N/A
162.159.43.138,4,4,0.00,138.71,0.00,N/A
162.159.1.9,4,4,0.00,138.80,0.00,N/A
162.159.62.84,4,4,0.00,139.57,0.00,N/A
172.64.42.154,4,4,0.00,139.66,0.00,N/A
8.39.125.193,4,4,0.00,139.74,0.00,N/A
8.39.125.192,4,4,0.00,139.85,0.00,N/A
172.64.145.183,4,4,0.00,139.94,0.00,N/A
172.64.42.229,4,4,0.00,140.07,0.00,N/A
172.64.155.48,4,4,0.00,140.09,0.00,N/A
172.64.34.48,4,4,0.00,140.21,0.00,N/A
172.64.42.50,4,4,0.00,140.29,0.00,N/A
162.159.25.25,4,4,0.00,140.53,0.00,N/A
162.159.11.93,4,4,0.00,140.62,0.00,N/A
104.18.38.187,4,4,0.00,140.67,0.00,N/A
162.159.4.73,4,4,0.00,140.69,0.00,N/A
172.64.158.40,4,4,0.00,140.75,0.00,N/A
172.64.145.211,4,4,0.00,140.83,0.00,N/A
162.159.3.171,4,4,0.00,140.85,0.00,N/A
162.159.36.110,4,4,0.00,140.85,0.00,N/A
162.159.60.179,4,4,0.00,140.93,0.00,N/A
108.162.192.41,4,4,0.00,141.12,0.00,N/A
162.159.60.116,4,4,0.00,141.25,0.00,N/A
162.159.46.206,4,4,0.00,141.52,0.00,N/A
198.41.222.175,4,4,0.00,141.55,0.00,N/A
104.18.42.20,4,4,0.00,141.74,0.00,N/A
162.159.36.156,4,4,0.00,141.91,0.00,N/A
172.64.158.244,4,4,0.00,142.11,0.00,N/A
104.18.42.133,4,4,0.00,142.12,0.00,N/A
172.64.159.125,4,4,0.00,142.18,0.00,N/A
162.159.36.252,4,4,0.00,142.21,0.00,N/A
108.162.193.87,4,4,0.00,142.28,0.00,N/A
162.159.3.74,4,4,0.00,142.38,0.00,N/A
162.159.46.44,4,4,0.00,142.47,0.00,N/A
8.39.125.198,4,4,0.00,142.50,0.00,N/A
162.159.43.18,4,4,0.00,142.63,0.00,N/A
172.64.155.181,4,4,0.00,142.70,0.00,N/A
162.159.58.175,4,4,0.00,142.79,0.00,N/A
8.39.125.130,4,4,0.00,142.86,0.00,N/A
8.39.125.31,4,4,0.00,142.87,0.00,N/A
162.159.15.109,4,4,0.00,143.28,0.00,N/A
8.35.211.209,4,4,0.00,143.46,0.00,N/A
162.159.49.119,4,4,0.00,143.50,0.00,N/A
172.64.34.160,4,4,0.00,143.90,0.00,N/A
162.159.46.219,4,4,0.00,144.12,0.00,N/A
8.35.211.70,4,4,0.00,144.15,0.00,N/A
8.35.211.27,4,4,0.00,144.18,0.00,N/A
8.39.125.56,4,4,0.00,144.19,0.00,N/A
108.162.192.46,4,4,0.00,144.40,0.00,N/A
172.64.38.129,4,4,0.00,145.15,0.00,N/A
104.18.42.151,4,4,0.00,145.18,0.00,N/A
162.159.60.23,4,4,0.00,145.30,0.00,N/A
8.35.211.55,4,4,0.00,145.55,0.00,N/A
162.159.34.38,4,4,0.00,145.80,0.00,N/A
104.18.44.182,4,4,0.00,146.00,0.00,N/A
172.64.41.155,4,4,0.00,146.23,0.00,N/A
162.159.62.169,4,4,0.00,146.38,0.00,N/A
162.159.58.239,4,4,0.00,146.38,0.00,N/A
172.64.155.68,4,4,0.00,146.39,0.00,N/A
172.64.153.14,4,4,0.00,146.76,0.00,N/A
108.162.192.8,4,4,0.00,146.98,0.00,N/A
172.64.42.164,4,4,0.00,147.30,0.00,N/A
162.159.34.93,4,4,0.00,147.54,0.00,N/A
172.64.148.135,4,4,0.00,147.90,0.00,N/A
162.159.34.40,4,4,0.00,147.94,0.00,N/A
108.162.192.26,4,4,0.00,148.13,0.00,N/A
172.64.32.147,4,4,0.00,148.32,0.00,N/A
162.159.60.222,4,4,0.00,148.87,0.00,N/A
8.39.125.106,4,4,0.00,148.96,0.00,N/A
162.159.43.75,4,4,0.00,148.98,0.00,N/A
104.18.38.84,4,4,0.00,149.31,0.00,N/A
172.64.145.149,4,4,0.00,149.34,0.00,N/A
162.159.34.86,4,4,0.00,149.41,0.00,N/A
162.159.49.2,4,4,0.00,149.58,0.00,N/A
162.159.60.142,4,4,0.00,149.77,0.00,N/A
172.64.33.74,4,4,0.00,149.85,0.00,N/A
162.159.46.181,4,4,0.00,149.93,0.00,N/A
172.64.155.164,4,4,0.00,150.00,0.00,N/A
162.159.3.13,4,4,0.00,150.03,0.00,N/A
162.159.46.152,4,4,0.00,150.29,0.00,N/A
8.39.125.107,4,4,0.00,150.49,0.00,N/A
172.64.48.171,4,4,0.00,150.51,0.00,N/A
162.159.14.208,4,4,0.00,150.72,0.00,N/A
172.64.41.223,4,4,0.00,150.73,0.00,N/A
162.159.5.41,4,4,0.00,150.79,0.00,N/A
104.18.38.61,4,4,0.00,150.83,0.00,N/A
8.35.211.178,4,4,0.00,150.98,0.00,N/A
8.39.125.208,4,4,0.00,151.04,0.00,N/A
104.25.11.2,4,4,0.00,151.14,0.00,N/A
162.159.60.199,4,4,0.00,151.15,0.00,N/A
172.64.42.88,4,4,0.00,151.42,0.00,N/A
172.64.38.173,4,4,0.00,151.57,0.00,N/A
172.64.38.54,4,4,0.00,151.71,0.00,N/A
104.24.233.97,4,4,0.00,151.72,0.00,N/A
104.24.87.217,4,4,0.00,151.86,0.00,N/A
172.64.34.11,4,4,0.00,151.94,0.00,N/A
104.24.16.164,4,4,0.00,151.95,0.00,N/A
162.159.157.71,4,4,0.00,151.95,0.00,N/A
104.24.214.38,4,4,0.00,151.96,0.00,N/A
172.65.145.103,4,4,0.00,152.07,0.00,N/A
162.159.46.245,4,4,0.00,152.12,0.00,N/A
162.159.49.205,4,4,0.00,152.27,0.00,N/A
104.24.206.188,4,4,0.00,152.30,0.00,N/A
162.159.61.185,4,4,0.00,152.47,0.00,N/A
162.159.43.236,4,4,0.00,152.50,0.00,N/A
104.25.204.147,4,4,0.00,152.58,0.00,N/A
104.25.254.224,4,4,0.00,152.58,0.00,N/A
108.162.193.71,4,4,0.00,152.66,0.00,N/A
162.159.49.223,4,4,0.00,152.70,0.00,N/A
8.39.125.45,4,4,0.00,152.75,0.00,N/A
104.27.35.91,4,4,0.00,152.82,0.00,N/A
104.27.90.105,4,4,0.00,152.95,0.00,N/A
104.24.89.147,4,4,0.00,153.09,0.00,N/A
104.25.127.208,4,4,0.00,153.10,0.00,N/A
104.25.157.42,4,4,0.00,153.16,0.00,N/A
104.24.209.243,4,4,0.00,153.44,0.00,N/A
104.29.125.90,4,4,0.00,153.48,0.00,N/A
104.26.5.199,4,4,0.00,153.48,0.00,N/A
162.159.62.164,4,4,0.00,153.56,0.00,N/A
172.67.119.240,4,4,0.00,153.62,0.00,N/A
172.64.34.174,4,4,0.00,153.67,0.00,N/A
172.64.41.85,4,4,0.00,153.74,0.00,N/A
104.27.0.190,4,4,0.00,153.80,0.00,N/A
104.25.170.235,4,4,0.00,153.81,0.00,N/A
108.162.193.11,4,4,0.00,153.82,0.00,N/A
172.65.104.66,4,4,0.00,153.92,0.00,N/A
172.65.140.220,4,4,0.00,154.10,0.00,N/A
104.27.3.42,4,4,0.00,154.11,0.00,N/A
104.25.60.223,4,4,0.00,154.17,0.00,N/A
172.64.34.84,4,4,0.00,154.23,0.00,N/A
172.64.38.118,4,4,0.00,154.25,0.00,N/A
172.66.201.58,4,4,0.00,154.38,0.00,N/A
162.159.58.144,4,4,0.00,154.48,0.00,N/A
104.24.60.226,4,4,0.00,154.48,0.00,N/A
172.65.118.246,4,4,0.00,154.52,0.00,N/A
162.159.61.57,4,4,0.00,154.57,0.00,N/A
104.27.10.186,4,4,0.00,154.72,0.00,N/A
172.65.178.228,4,4,0.00,154.74,0.00,N/A
8.35.211.188,4,4,0.00,154.88,0.00,N/A
104.20.37.101,4,4,0.00,154.99,0.00,N/A
104.25.26.229,4,4,0.00,155.09,0.00,N/A
104.29.126.175,4,4,0.00,155.38,0.00,N/A
162.159.58.187,4,4,0.00,155.43,0.00,N/A
104.25.59.208,4,4,0.00,155.44,0.00,N/A
104.27.43.33,4,4,0.00,155.59,0.00,N/A
162.159.49.218,4,4,0.00,155.67,0.00,N/A
104.24.9.183,4,4,0.00,155.70,0.00,N/A
172.66.156.125,4,4,0.00,155.77,0.00,N/A
108.162.193.163,4,4,0.00,155.86,0.00,N/A
104.20.33.75,4,4,0.00,155.92,0.00,N/A
104.25.16.25,4,4,0.00,156.00,0.00,N/A
162.159.62.154,4,4,0.00,156.03,0.00,N/A
198.41.211.17,4,4,0.00,156.05,0.00,N/A
104.20.38.101,4,4,0.00,156.06,0.00,N/A
162.159.51.47,4,4,0.00,156.19,0.00,N/A
104.24.235.246,4,4,0.00,156.26,0.00,N/A
104.24.38.164,4,4,0.00,156.32,0.00,N/A
162.159.46.143,4,4,0.00,156.38,0.00,N/A
172.67.76.140,4,4,0.00,156.40,0.00,N/A
104.27.22.124,4,4,0.00,156.44,0.00,N/A
104.24.130.242,4,4,0.00,156.46,0.00,N/A
104.25.133.239,4,4,0.00,156.47,0.00,N/A
172.65.136.156,4,4,0.00,156.49,0.00,N/A
104.24.17.251,4,4,0.00,156.51,0.00,N/A
162.159.48.135,4,4,0.00,156.52,0.00,N/A
172.64.153.119,4,4,0.00,156.53,0.00,N/A
104.20.63.129,4,4,0.00,156.54,0.00,N/A
104.18.40.117,4,4,0.00,156.61,0.00,N/A
104.25.62.162,4,4,0.00,156.64,0.00,N/A
104.20.18.62,4,4,0.00,156.65,0.00,N/A
8.39.125.135,4,4,0.00,156.70,0.00,N/A
104.20.63.124,4,4,0.00,156.74,0.00,N/A
104.20.27.80,4,4,0.00,156.80,0.00,N/A
104.25.85.145,4,4,0.00,156.84,0.00,N/A
172.64.145.15,4,4,0.00,156.96,0.00,N/A
104.24.2.33,4,4,0.00,156.97,0.00,N/A
172.64.42.95,4,4,0.00,157.03,0.00,N/A
104.27.94.145,4,4,0.00,157.09,0.00,N/A
104.24.163.26,4,4,0.00,157.14,0.00,N/A
104.27.98.136,4,4,0.00,157.15,0.00,N/A
104.27.33.47,4,4,0.00,157.23,0.00,N/A
108.162.193.156,4,4,0.00,157.26,0.00,N/A
172.67.68.141,4,4,0.00,157.32,0.00,N/A
104.27.103.172,4,4,0.00,157.35,0.00,N/A
162.159.43.69,4,4,0.00,157.38,0.00,N/A
104.24.83.167,4,4,0.00,157.57,0.00,N/A
104.29.126.159,4,4,0.00,157.58,0.00,N/A
104.27.4.28,4,4,0.00,157.61,0.00,N/A
162.159.34.110,4,4,0.00,157.64,0.00,N/A
104.18.40.164,4,4,0.00,157.78,0.00,N/A
172.65.187.175,4,4,0.00,157.81,0.00,N/A
172.64.34.35,4,4,0.00,157.83,0.00,N/A
104.20.58.33,4,4,0.00,157.85,0.00,N/A
162.159.19.73,4,4,0.00,157.85,0.00,N/A
104.27.18.16,4,4,0.00,157.86,0.00,N/A
172.65.114.18,4,4,0.00,157.91,0.00,N/A
104.24.156.180,4,4,0.00,158.14,0.00,N/A
104.24.62.91,4,4,0.00,158.18,0.00,N/A
172.64.34.49,4,4,0.00,158.20,0.00,N/A
162.159.17.185,4,4,0.00,158.30,0.00,N/A
172.64.158.120,4,4,0.00,158.37,0.00,N/A
104.25.54.27,4,4,0.00,158.40,0.00,N/A
104.25.163.122,4,4,0.00,158.41,0.00,N/A
104.25.92.195,4,4,0.00,158.41,0.00,N/A
172.64.157.30,4,4,0.00,158.45,0.00,N/A
172.64.42.108,4,4,0.00,158.45,0.00,N/A
104.27.41.186,4,4,0.00,158.47,0.00,N/A
172.64.38.138,4,4,0.00,158.67,0.00,N/A
104.27.77.172,4,4,0.00,158.71,0.00,N/A
172.65.116.48,4,4,0.00,158.76,0.00,N/A
8.35.211.142,4,4,0.00,158.76,0.00,N/A
104.27.52.49,4,4,0.00,158.78,0.00,N/A
104.27.30.164,4,4,0.00,158.82,0.00,N/A
104.25.97.213,4,4,0.00,158.96,0.00,N/A
104.25.38.64,4,4,0.00,159.00,0.00,N/A
104.27.49.236,4,4,0.00,159.03,0.00,N/A
104.24.243.134,4,4,0.00,159.04,0.00,N/A
104.25.95.167,4,4,0.00,159.20,0.00,N/A
104.25.142.133,4,4,0.00,159.24,0.00,N/A
104.20.28.105,4,4,0.00,159.26,0.00,N/A
104.27.196.36,4,4,0.00,159.27,0.00,N/A
172.65.190.148,4,4,0.00,159.35,0.00,N/A
104.20.5.154,4,4,0.00,159.43,0.00,N/A
172.65.168.210,4,4,0.00,159.46,0.00,N/A
104.24.11.134,4,4,0.00,159.49,0.00,N/A
162.159.34.178,4,4,0.00,159.50,0.00,N/A
104.24.58.89,4,4,0.00,159.54,0.00,N/A
104.25.14.177,4,4,0.00,159.60,0.00,N/A
104.25.13.223,4,4,0.00,159.62,0.00,N/A
104.25.238.29,4,4,0.00,159.65,0.00,N/A
104.25.232.229,4,4,0.00,159.69,0.00,N/A
162.159.58.250,4,4,0.00,159.71,0.00,N/A
172.66.138.4,4,4,0.00,159.71,0.00,N/A
104.25.150.214,4,4,0.00,159.76,0.00,N/A
8.39.125.19,4,4,0.00,159.82,0.00,N/A
162.159.49.221,4,4,0.00,159.84,0.00,N/A
104.27.75.41,4,4,0.00,159.85,0.00,N/A
172.67.126.27,4,4,0.00,159.88,0.00,N/A
172.65.138.42,4,4,0.00,159.89,0.00,N/A
162.159.1.152,4,4,0.00,159.89,0.00,N/A
172.66.215.190,4,4,0.00,160.01,0.00,N/A
104.25.83.12,4,4,0.00,160.01,0.00,N/A
104.27.53.86,4,4,0.00,160.08,0.00,N/A
104.25.78.60,4,4,0.00,160.10,0.00,N/A
104.24.3.68,4,4,0.00,160.12,0.00,N/A
108.162.193.126,4,4,0.00,160.14,0.00,N/A
172.67.100.65,4,4,0.00,160.17,0.00,N/A
162.159.5.197,4,4,0.00,160.30,0.00,N/A
162.159.34.143,4,4,0.00,160.35,0.00,N/A
172.65.147.234,4,4,0.00,160.35,0.00,N/A
